,city,latitude,longitude,temperature,humidity,cloudiness,max windspeed
115,nayagarh,20.13,85.1,19.49,67,0,1.97
139,arlit,18.74,7.39,10.17,39,0,3.82
50,zemio,5.02,25.13,22.62,72,12,2.37
126,cidreira,-30.17,-50.22,25.72,79,12,4.67
288,itarema,-2.92,-39.92,24.47,96,32,3.22
55,vieux-habitants,16.06,-61.77,21.0,94,0,6.32
107,assare,-6.87,-39.88,24.12,54,44,1.47
471,upernavik,72.79,-56.15,-15.26,100,76,3.67
232,ushuaia,-54.81,-68.31,7.0,81,75,12.3
216,punta arenas,-53.16,-70.91,7.0,75,75,8.2
378,ayagoz,47.96,80.43,-19.14,67,80,1.82
132,novosheshminsk,55.06,51.22,-6.51,91,80,4.42
